Authors	Title	Year	Type	Source	Publisher	ArticleURL	Volume	Issue	StartPage	EndPage
LJ Jonsson	Den giftiga större taggspindeln Cheiracanthium punctorium (Araneae, Miturgidae) återfunnen i Sverige	2005	Article	Entomologisk Tidskrift		https://www.diva-portal.org/smash/get/diva2:1063054/FULLTEXT01.pdf	126	4	183	186
A Bolzern, A Hänggi, C Kropf, H Frick	Erstnachweis von Maro lehtineni Saaristo, 1971 für die Schweiz (Arachnida, Araneae)	2005	Article	Mitteilungen der schweizerischen Entomologischen Gesellschaft		https://www.researchgate.net/publication/236175593_Erstnachweis_von_Maro_lehtineni_Saaristo_1971_fur_die_Schweiz_Arachnida_Araneae	78	NA	165	172
AL Schönhofer	Mittel-und Nordeuropäische Weberknechte aus dem Senckenberg Museum Frankfurt (Arachnida: Opiliones)	2005	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM30.pdf#page=27	30	NA	25	31
M Trost	Neue Funde von Atypus muralis (Araneae: Atypidae) in Sachsen-Anhalt	2005	Article	Arachnologische Mitteilungen: Arachnology Letters		https://pdfs.semanticscholar.org/71b3/b2eef7e82c63f029ad6e7fb7715510ae8acf.pdf	29	NA	55	57
JU Hammel	Ökologie und Phylogenie grönländischer Wolfsspinnen (Lycosidae, Araneae)	2005	Thesis		Universität Stuttgart	https://elib.uni-stuttgart.de/bitstreams/c18a6c8f-64e5-4347-a8d9-d661f0be00ea/download	NA	NA	1	137
J Spelda	The GloMyrIS project of GBIF: Database structure and data exchange	2005	Article	Peckiana		https://www.researchgate.net/profile/Joerg-Spelda/publication/228948995_The_GloMyris_project_of_GBIF-database_structure_and_data_exchange/links/0c960529c3cf9cef8d000000/The-GloMyris-project-of-GBIF-database-structure-and-data-exchange.pdf	4	NA	91	100
J Noordijk	Callilepis nocturna (Linnaeus, 1758), Xysticus acerbus Thorell, 1872 en Pardosa proxima (CL Koch, 1874) gevonden bij Heerlen (Aranaea, Gnaphosidae …	2006	Article	Nieuwsbrief SPINED		https://natuurtijdschriften.nl/pub/541519	22	NA	19	22
J Dunlop	Ein Geburtstag, eine Taufe und eine Festschrift: Zehn Jahre" AraGes" in Frankfurt.	2006	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/aramit/pdf/Heft_32/AM32_51_52.pdf	32	NA	51	52
I HAJDAMOWICZ	First records of Emblyna brevidens (Kulczyński, 1897)(Araneae: Dictynidae) in Poland	2006	Article	Biological Letters		https://www.researchgate.net/profile/Izabela-Hajdamowicz/publication/274708286_First_records_of_Emblyna_brevidens_Kulczynski_1897_Araneae_Dictynidae_in_Poland/links/552695900cf2f6e6516937dc/First-records-of-Emblyna-brevidens-Kulczynski-1897-Araneae-Dictynidae-in-Poland.pdf	43	1	79	86
J Wunderlich	Moebelia berolinensis comb. nov., eine in Mitteleuropa selten gesammelte Zwergspinne der Baumrinde (Araneae: Linyphiidae: Erigoninae)	2006	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/aramit/pdf/Heft_32/AM32_13_18.pdf	32	NA	13	18
E IORIO	Nouvelles stations pour quelques araignées intéressantes en Lorraine (Arachnida, Araneae)	2006	Article	Le bulletin d'Arthropoda		https://lorraine-entomologie.org/webobs/biblio/docpdf/Iorio2006-966.pdf	28	NA	NA	NA
K Van Keer, H De Koninck, H Vanuytven…	Some–mostly southern European–spider species (Araneae), new or rare to the Belgian fauna, found in the city of Antwerp	2006	Article	Nieuwsbr. Belg. Arachnol. Ver.		https://www.researchgate.net/profile/Koen-Van-Keer-2/publication/280878305_Some_-mostly_southern_European-_spider_species_Araneae_new_or_rare_to_the_Belgian_fauna_found_in_the_city_of_Antwerp/links/55c9d8cf08aebc967df9f1a0/Some-mostly-southern-European-spider-species-Araneae-new-or-rare-to-the-Belgian-fauna-found-in-the-city-of-Antwerp.pdf	21	2	33	40
T Blick	Spinnen aus Baumkronen-Klopfproben (Arachnida: Araneae), mit Anmerkungen zu Cinetata gradata (Linyphiidae) und Theridion boesenbergi (Theridiidae)	2006	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM31_23_39.pdf	31	NA	23	39
EJ Nieukerken, AEP Schreurs…	Stigmella aceris (Lepidoptera: Nepticulidae), een nieuwe mineermot van esdoorns in Nederland en België	2006	Article	Entomologische Berichten		https://natuurtijdschriften.nl/pub/1011862	66	6	174	180
K VAN KEER, J VAN KEER	Verrassende spinnenrijkdom in Antwerpse binnenstad	2006	Article	Natuur.focus		https://www.researchgate.net/profile/Koen-Van-Keer-2/publication/280879041_Verrassende_spinnenrijkdom_in_Antwerpse_binnenstad_Kapstok_voor_ecologisch_beheer_van_stedelijk_groen/links/55c9e4c808aebc967dfaa177/Verrassende-spinnenrijkdom-in-Antwerpse-binnenstad-Kapstok-voor-ecologisch-beheer-van-stedelijk-groen.pdf	5	1	17	21
A Sührig, W Entling, A Rothländer, M Schaefer	Weberknechte (Arachnida: Opiliones) in Mischbeständen aus Fichte und Buche im Vergleich zu Fichten-und Buchenreinbeständen–eine Studie im Solling	2006	Article	Arachnologische Mitteilungen: Arachnology Letters		https://arages.de/user_upload/psb_publicationmanagement/pdf/AM32.pdf#page=21	32	NA	19	30
